type,x,y,ins_mode,dis_ins,yaw_ins,n,target,flag_save,comment
I,-5098.5,372.5,0,0.0,0.0,0,1,0,
I,-5098.5,372.5,0,0.0,0.0,0,1,0,
I,-5098.5,372.5,0,0.0,0.0,0,1,0,
I,-5098.5,372.5,0,0.0,0.0,0,1,0,
I,-5098.5,372.5,0,0.0,0.0,0,1,0,
I,-5098.5,372.5,0,0.0,0.0,0,1,0,
I,-5098.5,372.5,0,0.0,0.0,0,1,0,
I,-5098.5,372.5,0,0.0,0.0,0,1,0,
I,-5098.5,372.5,0,0.0,0.0,0,1,0,
I,-5098.5,372.5,0,0.0,0.0,0,1,0,
I,-5098.5,372.5,0,0.0,0.0,0,1,0,
I,-5098.5,372.5,0,0.0,0.0,0,1,0,
I,-5098.5,372.5,0,0.0,0.0,0,1,0,
W,-5098.5,372.5,,,,1,0,,waypoint
I,-5098.5,372.5,0,0.0,0.0,1,1,0,
I,-5098.5,372.5,0,0.0,0.0,1,1,0,
I,-5098.5,372.5,0,0.0,0.0,1,1,0,
I,-5098.5,372.5,0,0.0,0.0,1,1,0,
I,-5098.5,372.5,0,0.0,0.0,2,1,0,
W,-5098.5,372.5,,,,2,1,,waypoint
I,-5098.5,372.5,0,0.0,0.0,2,1,0,
I,-5098.5,372.5,0,0.0,0.0,2,1,0,
I,-5098.5,372.5,0,0.0,0.0,2,1,0,
I,-5098.5,372.5,0,0.0,0.0,2,1,0,
I,-5098.5,372.5,0,0.0,0.0,2,1,0,
I,-5098.5,372.5,0,0.0,0.0,2,1,0,
I,-5098.5,372.5,0,0.0,0.0,2,1,0,
I,-5098.5,372.5,0,0.0,0.0,2,1,0,
I,-5098.5,372.5,0,0.0,0.0,2,1,0,
I,-5098.5,372.5,0,0.0,0.0,2,1,0,
I,-5098.5,372.5,0,0.0,0.0,2,1,0,
I,-5098.5,372.5,0,0.0,0.0,2,1,0,
I,-5098.5,372.5,0,0.0,0.0,2,1,0,
I,-5098.5,372.5,0,0.0,0.0,2,1,0,
I,-5098.5,372.5,0,0.0,0.0,2,1,0,
I,-5098.5,372.5,0,0.0,0.0,2,1,0,
I,-5098.5,372.5,0,0.0,0.0,2,1,0,
I,-5098.4,372.5,0,0.0,0.0,2,1,0,
I,-5098.4,372.5,0,0.0,0.0,2,1,0,
I,-5098.4,372.5,0,0.0,0.0,2,1,0,
I,-5098.4,372.5,0,0.0,0.0,2,1,0,
I,-5098.4,372.5,0,0.0,0.0,2,1,0,
I,-5098.4,372.5,0,0.0,0.0,2,1,0,
I,-5098.4,372.5,0,0.0,0.0,2,1,0,
I,-5098.4,372.5,0,0.0,0.0,2,1,0,
I,-5098.4,372.5,0,0.0,0.0,2,1,0,
I,-5098.4,372.5,0,0.0,0.0,2,1,0,
I,-5098.4,372.5,0,0.0,0.0,2,1,0,
I,-5098.4,372.5,0,0.0,0.0,2,1,0,
I,-5098.4,372.5,0,0.0,0.0,2,1,0,
